fips,NAME,income
17153,"Pulaski County, Illinois",41038
17155,"Putnam County, Illinois",75726
17157,"Randolph County, Illinois",63860
17159,"Richland County, Illinois",61607
17161,"Rock Island County, Illinois",64435
17163,"St. Clair County, Illinois",68915
17165,"Saline County, Illinois",51710
17167,"Sangamon County, Illinois",71653
17169,"Schuyler County, Illinois",63737
17171,"Scott County, Illinois",70500
17173,"Shelby County, Illinois",65585
17175,"Stark County, Illinois",58125
17177,"Stephenson County, Illinois",57527
17179,"Tazewell County, Illinois",74606
17181,"Union County, Illinois",54090
17183,"Vermilion County, Illinois",52787
17185,"Wabash County, Illinois",54074
17187,"Warren County, Illinois",62700
17189,"Washington County, Illinois",75111
17191,"Wayne County, Illinois",53522
17193,"White County, Illinois",54605
17195,"Whiteside County, Illinois",62828
17197,"Will County, Illinois",103678
17199,"Williamson County, Illinois",60325
17201,"Winnebago County, Illinois",61738
17203,"Woodford County, Illinois",80093
18001,"Adams County, Indiana",61731
18003,"Allen County, Indiana",66222
18005,"Bartholomew County, Indiana",76912
18007,"Benton County, Indiana",58620
18009,"Blackford County, Indiana",51108
18011,"Boone County, Indiana",103038
18013,"Brown County, Indiana",73933
18015,"Carroll County, Indiana",61464
18017,"Cass County, Indiana",55862
18019,"Clark County, Indiana",69005
18021,"Clay County, Indiana",68364
18023,"Clinton County, Indiana",59515
18025,"Crawford County, Indiana",46706
18027,"Daviess County, Indiana",64113
18029,"Dearborn County, Indiana",80352
18031,"Decatur County, Indiana",71566
18033,"DeKalb County, Indiana",68110
18035,"Delaware County, Indiana",53377
18037,"Dubois County, Indiana",68945
18039,"Elkhart County, Indiana",63978
18041,"Fayette County, Indiana",52219
18043,"Floyd County, Indiana",75686
18045,"Fountain County, Indiana",60559
18047,"Franklin County, Indiana",75985
18049,"Fulton County, Indiana",62644
18051,"Gibson County, Indiana",64153
18053,"Grant County, Indiana",53033
18055,"Greene County, Indiana",57771
18057,"Hamilton County, Indiana",114866
18059,"Hancock County, Indiana",85262
18061,"Harrison County, Indiana",71302
18063,"Hendricks County, Indiana",95261
18065,"Henry County, Indiana",57632
18067,"Howard County, Indiana",62014
18069,"Huntington County, Indiana",59894
18071,"Jackson County, Indiana",65609
18073,"Jasper County, Indiana",77777
18075,"Jay County, Indiana",52231
18077,"Jefferson County, Indiana",57801
18079,"Jennings County, Indiana",66892
18081,"Johnson County, Indiana",82730
18083,"Knox County, Indiana",58173
18085,"Kosciusko County, Indiana",70945
18087,"LaGrange County, Indiana",81658
18089,"Lake County, Indiana",66375
18091,"LaPorte County, Indiana",66854
18093,"Lawrence County, Indiana",64210
18095,"Madison County, Indiana",60060
18097,"Marion County, Indiana",59504
18099,"Marshall County, Indiana",66016
18101,"Martin County, Indiana",65489
18103,"Miami County, Indiana",59551
18105,"Monroe County, Indiana",60308
18107,"Montgomery County, Indiana",62937
18109,"Morgan County, Indiana",79134
18111,"Newton County, Indiana",63673
18113,"Noble County, Indiana",70286
18115,"Ohio County, Indiana",66333
18117,"Orange County, Indiana",60775
18119,"Owen County, Indiana",57947
18121,"Parke County, Indiana",63393
18123,"Perry County, Indiana",58936
18125,"Pike County, Indiana",64182
18127,"Porter County, Indiana",82915
18129,"Posey County, Indiana",75594
18131,"Pulaski County, Indiana",56823
18133,"Putnam County, Indiana",70609
18135,"Randolph County, Indiana",59674
18137,"Ripley County, Indiana",70285
18139,"Rush County, Indiana",62386
18141,"St. Joseph County, Indiana",61877
